ıd;fiyat;tip;mkare;oda;ısıtma;balkon;konum;ilce
462;9.750.000;Daire;98;1+1;Yok;Var;İzmir;Çeşme
203;3.550.000;Daire;98;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
383;2.950.000;Daire;98;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
196;5.850.000;Daire;95;2+1;Doğalgaz (Kombi);Var;İzmir;Buca
269;4.400.000;Daire;95;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
288;3.750.000;Daire;95;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
322;3.750.000;Daire;95;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
13;3.200.000;Müstakil Ev;95;2+1;Klima;Var;İzmir;Buca
265;2.350.000;Daire;95;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
7;4.600.000;Müstakil Ev;93;1+1;Soba;Yok;İzmir;Buca
396;4.600.000;Müstakil Ev;93;1+1;Soba;Yok;İzmir;Çeşme
388;4.000.000;Bina;93;1+1;Yok;Yok;İzmir;Çeşme
344;8.850.000;Daire;92;2+1;Doğalgaz (Kombi);Var;İzmir;Buca
367;2.900.000;Daire;92;2+1;Doğalgaz (Kombi);Yok;İzmir;Menemen
32;98.500.000;Müstakil Ev;907;10 üzeri;Klima;Var;İzmir;Çeşme
481;98.500.000;Müstakil Ev;907;8+1;Klima;Var;İzmir;Çeşme
352;6.950.000;Daire;90;1+1;Merkezi (Pay Ölçer);Var;İzmir;Buca
419;6.500.000;Daire;90;2+1;Yerden Isıtma;Var;İzmir;Çeşme
148;4.650.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
10;4.600.000;Müstakil Ev;90;2+1;Soba;Var;İzmir;Buca
326;4.500.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
331;4.375.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
192;3.950.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
300;3.850.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
155;3.300.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
242;3.200.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
